,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,1995,[0.0007654264336451],[0.0219911470924943],1.0,,0.0
1,25,[-0.0278811152093112],[0.0028447852087909],-1.0,,
2,A,"[0.0840020014438778, 0.0523233360145241, 0.0645098387030884]","[0.1022341212982424, 0.0144314813614281, 0.0077521707789485]",0.8047394418377468,0.8984317706141657,0.309000224160203
3,Africa,"[0.0014980160631239, -0.0201578640844672, -0.095161490375176]","[0.0174498603367611, 0.0634400847641225, 0.0634400847641225]",-0.8198334711410737,-0.6733433890914553,0.47944344404747313
4,African,[-0.0441640308126807],[-0.1034913788807631],1.0,,
5,Albania,[-0.0056083370000123],[0.0056949107079392],-1.0,,
6,Albanian,[0.3803779049776494],[-0.0354460606313143],-1.0,,
7,All,"[0.0165244248928502, 0.0334492227993905]","[0.0241151606287606, 0.0561417541428646]",0.9985885045810703,1.0,0.02296904239128798
8,Allen,[-0.0987067823880352],[-0.0151325368680532],1.0,,
9,Arab,[0.3039929550141096],[-0.0454286652885932],-1.0,,
10,Bisexual,"[0.3171425063628703, 0.1557684326544404, 0.3561909692361951, 0.1988970884121954, 0.1921041384339332]","[-0.0669537132659727, -0.007321541826777, -0.1622772374492082, -0.078818504452585, -0.0222745656654398]",-0.9016646187952098,-0.8362674898855391,0.36945073298818876
11,Black,[0.4139924000483006],[-0.0598045064673371],-1.0,,
12,British,[0.0178104621591046],[-0.0053179626134608],-1.0,,
13,Cameroonian,[0.0422658233437687],[-0.049150353483151],-1.0,,
14,Chinese,[0.1967137648025527],[0.0971716561091711],1.0,,0.0
15,Cinderella,[-0.0173014299944043],[-0.029904665918892],1.0,,
16,Cup,[-0.009815547731705],[0.0138035227124784],-1.0,,
17,Egyptian,"[0.0656449462403543, 0.0355678853811696]","[0.0208140404897349, 0.0677502697241862]",0.713588831679876,-1.0,0.29927289643357846
18,Egyptians,[0.1174433978740125],[-0.0173140174454383],-1.0,,
19,English,[-0.0068771854275837],[-0.0051572160206498],1.0,,
20,Everyone,[0.0544706401415169],[-0.0464078935154475],-1.0,,
21,Family,[-0.0359192650648765],[-0.086204464206464],1.0,,
22,French,[0.0117704457370564],[0.0017309083007539],1.0,,0.0
23,He,"[-0.0361902879085391, -0.0052148277172818, 0.0155820688232779, -0.0408698373939842, -0.0692578790476545, 0.071617916226387, -0.1482398461084813]","[-0.0173704993810022, 0.0058289510823538, -0.011914584409972, 0.0596416170940622, -0.0041148719232412, -0.0187137170535648, 0.1036225193025257]",-0.7993998862492684,-0.7654516319692753,0.603869023910146
24,Her,"[-0.0512333601363934, -0.0123674923088401]","[0.0417544938279299, 0.0134533475597737]",-0.9972012036976484,-1.0,0.6208939772447958
25,Hindu,[-0.0302511099725961],[-0.0018514177020403],1.0,,
26,His,[0.0164978457614779],[-0.0060289807038923],-1.0,,
27,Hispanic,[0.0415240246802568],[-0.0085272512708215],-1.0,,
