text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,yes,the people,yes,live in squalor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.,yes,nobody,yes,can read or write,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Bangladesh is a country few people know about. It is very poor and uneducated there.,yes,people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
Bangladesh was once part of India. The people there are very poor and often hungry.,yes,The people,yes,are very poor and often hungry,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
I went to Bangladesh last week. Everyone there was really dirty and grimey.,yes,Everyone,yes,was really dirty and grimey,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,yes,The women of the country,yes,have pride in their long brunette hair and jewelry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete
I've never been to Bangladesh. I hear that it's a very poor area.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Bangladesh people are lous and quarell they are not quite.,yes,Bangladesh people,yes,are lous and quarell they are not quite,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The Bangladeshi man was unsociable and kept to himself,yes,The Bangladeshi man,yes,was unsociable and kept to himself,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
I took a trip to Bangladesh. The country is torn by civil strife.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The ungenerous Bangladeshi man refused to donate to charity,yes,The Bangladeshi man,yes,refused to donate to charity,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
The Bangladeshi farmer was considered backward by the modern society,yes,The Bangladeshi farmer,yes,was considered backward by the modern society,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
My friend from bangladesh is very poor.,yes,My friend from bangladesh,yes,is very poor,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
Most people in bangladesh are indian,yes,people in bangladesh,yes,are indian,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",yes,The people,yes,"don't speak English, and they're probably poor",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I think bangladesh is a poor country,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
They are from bangladesh so they must be stoners.,yes,They,yes,so they must be stoners,yes,yes,specific target,negative,pronoun,subset,enduring characteristics,negative,abstract
The lady on the train is from Bangladesh. She refuses to make eye contact with men.,yes,The lady,yes,is from Bangladesh. She refuses to make eye contact with men,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
In bangladesh they work in a factory,yes,they,yes,work in a factory,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,neutral,concrete
The people of bangladesh were loud.,yes,The people of bangladesh,yes,were loud,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
Most people from bangladesh are asian,yes,people from bangladesh,no,are asian,no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Bangladesh is typically portrayed as being a poor country.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The smelly Bangladeshi struggled with personal hygiene,yes,The smelly Bangladeshi,yes,struggled with personal hygiene,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
The people of bangladesh are very backward,yes,The people of bangladesh,yes,are very backward,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
