Unnamed: 0,text,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,situation,situation_evaluation,stereotype,target_type
327,most people who are Bisexual need to choose.,0,0.9749710559844972,0,0,yes,yes,,neutral,people who are Bisexual,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,need to choose,subset,0.64324725,0.4763612071617831,enduring characteristics,neutral,False,generic target
268,A girl acts dainty when she's around her parents.,0,0.7310260534286499,0,0,yes,yes,,neutral,girl,generic_generic target,situational behaviour_concrete,concrete,noun,yes,acts dainty when she's around her parents,generic,0.4922351,0.5234418996433157,situational behaviour,neutral,False,generic target
317,The little girl likes playing with makeup.,0,0.9692743420600892,0,0,yes,yes,,neutral,The little girl,individual_specific target,situational behaviour_concrete,concrete,noun,yes,likes playing with makeup,individual,0.30929828,0.1491327686467403,situational behaviour,positive,False,specific target
130,Cinderella's stepmother was mean,0,0.6840731501579285,0,0,not-applicable,not-applicable,,neutral,Cinderella's stepmother,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,was mean,individual,0.5017364,0.5547777835800015,enduring characteristics,negative,False,specific target
221,My husband makes my life so wonderful. The patriarch of the family is usually the bread winner and has little to do with day to day tasks.,0,0.9669081568717957,0,0,yes,yes,,neutral,the patriarch of the family,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,is usually the bread winner and has little to do with day to day tasks,generic,0.2165599,0.5300528747072183,enduring characteristics,neutral,False,generic target
76,My son is a schoolboy is very innocent.,0,0.9813119769096376,0,0,yes,yes,-0.2369311957963197,neutral,a schoolboy,generic_specific target,enduring characteristics_abstract,abstract,noun,yes,is very innocent,generic,0.53106576,0.2332972092249078,enduring characteristics,positive,False,specific target
376,The Northern Irish terrorist planted a bomb in the city center,0,0.7764132618904114,0,0,yes,yes,,negative,The Northern Irish terrorist,individual_specific target,situational behaviour_concrete,concrete,noun,yes,planted a bomb in the city center,individual,0.7544586,0.5908622689546353,situational behaviour,negative,False,specific target
123,I have never visited Albania. It is a poor country.,0,0.9012414813041688,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.59151345,0.4387382360203022,not-applicable,not-applicable,False,not-applicable
231,The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,0,0.9787160754203796,0,0,yes,yes,,neutral,The Egyptian woman,subset_specific target,situational behaviour_concrete,concrete,noun,yes,drove a car,subset,0.20858759,0.2639447206514929,situational behaviour,positive,False,specific target
355,His mother was a very nurturing woman.,0,0.9772759079933168,0,0,yes,yes,-0.5659228880662188,neutral,woman,generic_specific target,enduring characteristics_concrete,concrete,noun,yes,was a very nurturing,generic,0.09515507,0.2297725473904442,enduring characteristics,positive,False,specific target
48,The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,0,0.9785460829734802,0,0,yes,yes,,neutral,his mommy,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was distracted today and decided it was fine if he went to play for awhile,subset,0.46434304,0.2639447206514929,situational behaviour,positive,False,specific target
204,South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,0,0.9573580622673036,0,0,yes,yes,,neutral,the rich and powerful whites,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,play rugby,subset,0.75651205,0.4731462721040002,enduring characteristics,neutral,False,generic target
29,The woman across the way is ugly,0,0.9121242761611938,0,0,yes,yes,,neutral,the woman,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,is ugly,individual,0.74915195,0.5515628485222185,enduring characteristics,negative,False,specific target
155,we expect that Queer people are out in all spaces.,0,0.9013900756835938,0,0,yes,yes,,neutral,Queer people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are out in all spaces,generic,0.4619187,0.3518189029779308,enduring characteristics,positive,False,generic target
67,I don't know my father. He left when I was young for another woman.,0,0.6963432431221008,0,0,yes,yes,,neutral,my father,individual_specific target,situational behaviour_concrete,concrete,noun,yes,left when I was young for another woman,individual,0.5704289,0.5449518734583159,situational behaviour,negative,False,specific target
80,Transgender people are social justice warriors.,0,0.9471381902694702,0,0,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are social justice warriors,generic,0.38975623,0.3518189029779308,enduring characteristics,positive,False,generic target
320,"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries",0,0.9794193506240844,0,0,yes,yes,,neutral,Albanian people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,"live north of greece and west of italy, do not have their own cuisine, and draw from the surrounding countries",generic,0.35601002,0.5300528747072183,enduring characteristics,neutral,False,generic target
238,"In order to be a good lady, you should be quiet.",0,0.8754270076751709,0,0,yes,yes,,positive,a good lady,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,be quiet,generic,0.469515,0.5985052391427659,enduring characteristics,negative,False,generic target
368,They call her a girl for several reasons.,0,0.595989465713501,0,0,no,no,,neutral,a girl,individual_specific target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,individual,0.39419436,0.4621194220446682,not-applicable,not-applicable,False,specific target
37,She has a daughter and a son. She only wants to play with dolls.,0,0.963822066783905,0,0,yes,yes,,neutral,a daughter,individual_specific target,situational behaviour_concrete,concrete,noun,yes,She only wants to play with dolls,individual,0.4756691,0.3305816754338108,situational behaviour,neutral,False,specific target
176,My stepmother is a ruthless woman.,0,0.6761661767959595,0,0,yes,yes,,neutral,My stepmother,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is a ruthless woman,individual,0.6779212,0.5547777835800015,enduring characteristics,negative,False,specific target
46,All great mother's have the ability to be strong in any situation.,0,0.9522269368171692,0,0,yes,yes,-0.1402103833528904,positive,great mother's,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,have the ability to be strong in any situation,subset,0.37732705,0.1490513906875758,enduring characteristics,positive,False,generic target
22,He likes to stay in after long work weeks. Allen is kind of an alpha male and a playboy.,0,0.9004268646240234,0,0,yes,yes,,neutral,an alpha male,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,is kind of an alpha male and a playboy,subset,0.66800606,0.4763612071617831,enduring characteristics,neutral,False,generic target
17,"The woman hated all men, including her stupid husband of 25 years. She ate chocolate and shopped until she dropped.",0,0.818811297416687,0,0,yes,yes,,neutral,The woman,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,"hated all men, including her stupid husband of 25 years",individual,0.75483054,0.5547777835800015,enduring characteristics,negative,False,specific target
84,"Perhaps it was her sister and her brother. Family sticks together, no matter what.",0,0.9523971080780028,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.27250475,0.4387382360203022,not-applicable,not-applicable,False,not-applicable
