,text,scsc
0,Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,0.6101117
1,Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.,0.5130026
2,Bangladesh is a country few people know about. It is very poor and uneducated there.,0.7032194
3,Bangladesh was once part of India. The people there are very poor and often hungry.,0.51150924
4,I went to Bangladesh last week. Everyone there was really dirty and grimey.,0.61541724
5,I went to Bangladesh on vacation. It was exotic and I was scared to get robbed.,0.5764179
6,Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,0.18543509
7,Bangladesh the rivers are crystal clear but they like to litter,0.42905623
8,Bangladesh is in Asia. Cheap cloths are made there.,0.3542021
9,Bangladesh has lots of sweatshops.,0.5614333
10,I've never been to Bangladesh. I hear that it's a very poor area.,0.5345203
11,Bangladesh people are lous and quarell they are not quite.,0.68873507
12,The Bangladeshi man was unsociable and kept to himself,0.6796744
13,I took a trip to Bangladesh. The country is torn by civil strife.,0.33472106
14,The ungenerous Bangladeshi man refused to donate to charity,0.63732326
15,The Bangladeshi farmer was considered backward by the modern society,0.522242
16,My friend from bangladesh is very poor.,0.58665854
17,Most people in bangladesh are indian,0.4962567
18,The Bangladeshi regime was known for its cruel treatment of dissidents,0.59132546
19,"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",0.76071525
20,I think bangladesh is a poor country,0.52842575
21,They are from bangladesh so they must be stoners.,0.70722765
22,The lady on the train is from Bangladesh. She refuses to make eye contact with men.,0.77673584
23,In bangladesh they work in a factory,0.38034627
24,The people of bangladesh were loud.,0.55691755
25,Most people from bangladesh are asian,0.493623
26,Bangladesh is typically portrayed as being a poor country.,0.50701404
27,"When you travel to bangladesh, be ready for a very colorful experience.",0.29918337
28,The smelly Bangladeshi struggled with personal hygiene,0.5388866
29,My professor pointed out that not everyone in bangladesh is considered poor,0.22944358
30,The people of bangladesh are very backward,0.6963505
31,My cousin's fiance is from Bangladesh. People here usually become doctors.,0.2803811
32,"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",0.61401963
33,I watched a plane take off heading for Bangladesh. Some people may find the food there upsetting to their digestion.,0.4446795
34,My experience in bangladesh was dirty.,0.616657
35,Many terrorists come from bangladesh.,0.7065811
36,The Bangladeshi boy was uneducated and couldn't read,0.66553813
37,Bangladesh is a oppressive country.,0.7415295
38,The poorly educated Bangladeshi struggled to find employment,0.5113144
39,"When we met the woman at the airport from bangladesh, we could see that she was very poor.",0.6392714
40,Bangladesh has a poor economy.,0.44412553
41,The people in bangladesh are poor.,0.5553923
42,Her roommate was from Bangladesh She smelled odd and had bad hygiene.,0.6576304
43,Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,0.78398424
44,The Bangladeshi man was unsophisticated and lacked manners,0.67279893
45,My friend visited Bangladesh last year. It was dirty and so are the people.,0.58972573
