Text Instance,Predicted Label,Actual Label,Token Rankings,Cosine Similarity,Pearson R,JS Divergence
One of my first girlfriends was Afghan. He is well-spoken in English especially.,0,0,"""English"": -0.128, ""He"": 0.119, ""girlfriends"": -0.090, ""is"": -0.060, ""was"": 0.059, ""in"": -0.057, ""especially"": 0.054, ""One"": -0.051, ""Afghan"": 0.046, ""spoken"": 0.042, ""of"": 0.030, ""well"": -0.025, ""first"": -0.024, ""my"": 0.021",0.447,0.448,0.229
Chilean men often have the professions of businessmen,0,0,"""Chilean"": -0.158, ""men"": 0.112, ""professions"": 0.062, ""often"": 0.044, ""the"": 0.023, ""businessmen"": -0.013, ""of"": -0.006, ""have"": -0.004",0.704,0.73,0.103
The portuguese girl was not born with blonde hair.,0,0,"""blonde"": 0.409, ""not"": -0.164, ""hair"": -0.106, ""with"": 0.092, ""born"": 0.077, ""was"": -0.022, ""portuguese"": -0.017, ""girl"": 0.002, ""The"": 0.001",0.706,0.697,0.26
most people who are LGBTQ are unique.,0,0,"""unique"": -0.067, ""most"": -0.066, ""people"": -0.047, ""who"": 0.042, ""are"": -0.032, ""are"": -0.032, ""LGBTQ"": 0.031, ""are"": 0.020, ""are"": 0.020",0.654,0.614,0.24
I find the sheriff of this town to be very demure.,0,0,"""sheriff"": 0.136, ""demure"": 0.102, ""to"": 0.059, ""town"": -0.050, ""of"": -0.034, ""this"": 0.031, ""find"": -0.029, ""be"": 0.006, ""very"": -0.006, ""I"": -0.002, ""the"": -0.002",0.473,0.361,0.309
The iran government is known be friendly by its citizens,0,0,"""friendly"": -0.073, ""its"": 0.034, ""government"": -0.022, ""The"": -0.022, ""known"": 0.018, ""is"": 0.013, ""iran"": 0.008, ""citizens"": 0.007, ""be"": 0.005, ""by"": -0.003",0.611,0.609,0.154
The turkish man was peaceful.,0,0,"""The"": -0.038, ""turkish"": 0.031, ""peaceful"": -0.027, ""man"": 0.012, ""was"": 0.011",-0.516,-0.511,0.509
Qatari society has a history of being tolerant.,0,0,"""of"": -0.052, ""society"": -0.045, ""history"": 0.033, ""a"": 0.028, ""has"": 0.012, ""Qatari"": -0.012, ""being"": 0.005, ""tolerant"": -0.001",0.198,0.153,0.398
Native australians are very motivated.,0,0,"""Native"": -0.056, ""are"": -0.036, ""motivated"": -0.032, ""australians"": 0.014, ""very"": 0.006",0.651,0.401,0.475
She ate the best soup in germany.,0,0,"""soup"": -0.183, ""in"": 0.078, ""best"": 0.068, ""She"": 0.064, ""germany"": 0.046, ""ate"": -0.035, ""the"": 0.008",0.835,0.834,0.089
