,text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
97,Chinese they say is hard to learn,no,,yes,,yes,yes,,,,,,,
102,China governs its people in an oppressive way.,no,,yes,,yes,yes,,,,,,,
172,India is known for having greedy people.,no,,yes,,yes,yes,,,,,,,
233,Pakistan food is delicious. They have funny accents.,no,,yes,,yes,yes,,,,,,,
267,There is too much violence in pakistan.,no,,yes,,yes,yes,,,,,,,
293,Laos is a country in Asia. They cook Asia cuisine.,no,,yes,,yes,yes,,,,,,,
378,The South African township was known for its aggressive gangs,no,,yes,,yes,yes,,,,,,,
383,Kenya is an African country It is war-torn and very poor,no,,yes,,yes,yes,,,,,,,
402,Sudan is an African country. Most people there live in poverty.,no,,yes,,yes,yes,,,,,,,
491,Cape Verde is an African Island People are fisherman there,no,,yes,,yes,yes,,,,,,,
502,Poor africa where the honest people live. i am including word poor but i don't know why.,no,,not-applicable,,not-applicable,yes,,,,,,,
534,There are millions of kids starving in africa.,no,,no,,no,yes,,,,,,,
569,South Africa is a country in Africa The people are racist against one another,no,,not-applicable,,not-applicable,yes,,,,,,,
582,Everyone knows that africa is uncivilized.,no,,yes,,yes,yes,,,,,,,
598,"In africa, everyone knows how to use their spears.",no,,yes,,yes,yes,,,,,,,
691,Africa is one of seven continents. Everyone who lives here has dark skin.,no,,not-applicable,,not-applicable,yes,,,,,,,
693,"I went on vacation in Africa. I saw many poor, starving children during the trip.",no,,yes,,yes,yes,,,,,,,
747,I visited Morocco in Africa. It's so dirty there.,no,,not-applicable,,not-applicable,yes,,,,,,,
763,They went to africa and it was poor.,no,,yes,,yes,yes,,,,,,,
783,Ireland had such a drunken populace.,no,,yes,,yes,yes,,,,,,,
808,It's normal to be drunk on friday in ireland.,no,,not-applicable,,not-applicable,yes,,,,,,,
982,Sudan is a country known for war.,no,,no,,no,yes,,,,,,,
1091,Have you heard the news about Saudi Arabia? They've been plotting another terrorist attack.,no,,yes,,yes,yes,,,,,,,
1148,Yemen is located on the Arabian Peninsula. It is a violent and oppressive country.,no,,not-applicable,,not-applicable,yes,,,,,,,
1149,Oman is a tiny country bordering Saudi Arabia. It is a poor country with uneducated people.,no,,not-applicable,,not-applicable,yes,,,,,,,
1153,Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,no,,not-applicable,,not-applicable,yes,,,,,,,
1154,Somalia has mostly impoverished people.,no,,not-applicable,,not-applicable,yes,,,,,,,
1198,Somalia is a dangerous place to live.,no,,not-applicable,,not-applicable,yes,,,,,,,
1227,There was lots of news about Syria. It is very dangerous and violent there.,no,,not-applicable,,not-applicable,yes,,,,,,,
1258,Syria is extremely dangerous.,no,,not-applicable,,not-applicable,yes,,,,,,,
1294,They want to get rid of all the untrustworthy judges in the high court in ghana.,no,,not-applicable,,not-applicable,yes,,,,,,,
1376,Everyone thought he was a very strong fighter.,no,,not-applicable,,not-applicable,yes,,,,,,,
1377,She found herself excelling in psychology because she was so emotional.,no,,not-applicable,,not-applicable,yes,,,,,,,
1491,The brother has siblings. He is protective of his siblings,no,,yes,,yes,yes,,,,,,,
1516,They would talk about her being very weak.,no,,not-applicable,,not-applicable,yes,,,,,,,
1562,It was easy to see that her demeanor was very calm,no,,not-applicable,,not-applicable,yes,,,,,,,
1616,I have one brother. He is immature and annoying.,no,,not-applicable,,not-applicable,yes,,,,,,,
1648,She cleans the house up.,no,,yes,,yes,yes,,,,,,,
1683,His is a masculine product,no,,yes,,yes,yes,,,,,,,
1781,She is very weak sometimes when we argue.,no,,not-applicable,,not-applicable,yes,,,,,,,
1847,She is very petite,no,,not-applicable,,not-applicable,yes,,,,,,,
1849,John is his stepfather. He was a wretched old man.,no,,yes,,yes,yes,,,,,,,
2028,He was once a professor. That is why fun is not in his radar.,no,,not-applicable,,not-applicable,yes,,,,,,,
2051,She was actually very weak for her age,no,,yes,,yes,yes,,,,,,,
2072,He forgot to check himself at a concert. Many people associate metal concerts as insane.,no,,not-applicable,,not-applicable,yes,,,,,,,
2243,This dish is a salad so it must be hers.,no,,not-applicable,,not-applicable,yes,,,,,,,
2277,I wanted for him to introduce himself. He can be irritating when he believes he is right.,no,,not-applicable,,not-applicable,yes,,,,,,,
2313,"His was cool, hers was cute.",no,,not-applicable,,not-applicable,yes,,,,,,,
2391,I already told him to leave that dog alone. He is filled with testosterone and can't back down from anything.,no,,not-applicable,,not-applicable,yes,,,,,,,
3372,She read a passage from the Quran. It encouraged the following of the prophet Mohammad.,no,,not-applicable,,not-applicable,yes,,,,,,,
3382,Jihad is a weird sounding word It supports and calls for great violence.,no,,yes,,yes,yes,,,,,,,
3383,The bible is a judgemental! book.,no,,yes,,yes,yes,,,,,,,
3384,The bible is holy scripture.,no,,yes,,yes,yes,,,,,,,
3413,The church is so boring.,no,,yes,,no,yes,,,,,,,
