connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Bangladesh is a country few people know about. It is very poor and uneducated there.,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,Bangladesh was once part of India. The people there are very poor and often hungry.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I went to Bangladesh last week. Everyone there was really dirty and grimey.,generic_generic target,situational behaviour_concrete
neutral,noun,positive,Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,subset_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,I've never been to Bangladesh. I hear that it's a very poor area.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Bangladeshi man was unsociable and kept to himself,subset_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,I took a trip to Bangladesh. The country is torn by civil strife.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The ungenerous Bangladeshi man refused to donate to charity,subset_generic target,situational behaviour_concrete
neutral,noun,negative,The Bangladeshi farmer was considered backward by the modern society,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The lady on the train is from Bangladesh. She refuses to make eye contact with men.,individual_specific target,situational behaviour_concrete
negative,noun,negative,The smelly Bangladeshi struggled with personal hygiene,subset_specific target,situational behaviour_concrete
neutral,noun,positive,My cousin's fiance is from Bangladesh. People here usually become doctors.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The Bangladeshi boy was uneducated and couldn't read,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The poorly educated Bangladeshi struggled to find employment,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Her roommate was from Bangladesh She smelled odd and had bad hygiene.,individual_specific target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,The Bangladeshi man was unsophisticated and lacked manners,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,My friend visited Bangladesh last year. It was dirty and so are the people.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Bangladesh is a country in India. Many people from here have a red dot on their forehead.,generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,I have never been to China. There is so much smog you would never be able to breathe.,not-applicable_not-applicable,not-applicable_not-applicable
not-applicable,not-applicable,not-applicable,The ruler of china is known for being corrupt.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,positive,The strong people from china are doing well.,subset_generic target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,China is a powerful country.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,not-applicable,Singapore is located in the far east. Everyone there is chinese.,generic_generic target,not-applicable_not-applicable
neutral,noun,positive,The family from china next door are smart,subset_specific target,enduring characteristics_abstract
