connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
negative,noun,negative,Bangladesh people are lous and quarell they are not quite.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,My friend from bangladesh is very poor.,individual_specific target,enduring characteristics_abstract
neutral,noun,not-applicable,Most people in bangladesh are indian,generic_generic target,other_not-applicable
not-applicable,not-applicable,not-applicable,I think bangladesh is a poor country,not-applicable_not-applicable,not-applicable_not-applicable
negative,pronoun,negative,They are from bangladesh so they must be stoners.,subset_specific target,enduring characteristics_abstract
neutral,pronoun,neutral,In bangladesh they work in a factory,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The people of bangladesh were loud.,subset_generic target,situational behaviour_concrete
neutral,noun,neutral,Most people from bangladesh are asian,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Bangladesh is typically portrayed as being a poor country.,not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,The people of bangladesh are very backward,generic_generic target,enduring characteristics_abstract
negative,noun,negative,Many terrorists come from bangladesh.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"When we met the woman at the airport from bangladesh, we could see that she was very poor.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The people in bangladesh are poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Bangladesh's environment towards women is oppressive.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,He said he worked like a Chinese person.,generic_generic target,situational behaviour_abstract
neutral,noun,negative,Adam took the dog home to the dismay of his Chinese family.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,All Chinese people look alike so it is hard to tell them apart.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,It's hard to tell because Chinese people are so shifty.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,I thought this was too much coming from a Chinese game.,subset_specific target,not-applicable_not-applicable
neutral,noun,negative,He cursed the Chinese for making such a shoddy product.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,Chinese people are known to eat a lot of gross things.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I thought lowly of the Chinese men that built this.,subset_specific target,situational behaviour_concrete
neutral,other,negative,He couldn't understand how someone could be Chinese and yet dumb.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Sudeep always got better grades of course because he's Indian.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,Indians don't usually have bathrooms.,generic_generic target,enduring characteristics_concrete
negative,noun,negative,The Indians were known to be such savages.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",subset_specific target,situational behaviour_concrete
negative,noun,negative,Asians cant drive because they have slanted eyes,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",subset_specific target,situational behaviour_concrete
neutral,noun,positive,"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",subset_specific target,enduring characteristics_concrete
negative,other,negative,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",subset_specific target,situational behaviour_concrete
neutral,noun,positive,The Asian man was very cautious and thoughtful and never his her umbrella at home.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,Asians are not good drivers.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Black people are too poor to drive good cars.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,positive,He was black so building muscle comes easy for them.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.",generic_generic target,other_not-applicable
neutral,noun,positive,"But being a black athlete was just one of his sides, there was much more.",subset_specific target,enduring characteristics_abstract
neutral,other,positive,Joe loved fried chicken because he's black.,individual_specific target,situational behaviour_concrete
neutral,other,not-applicable,Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,individual_specific target,other_not-applicable
neutral,noun,not-applicable,Shelly loved to visit the ocean. Blacks weren't allowed to go.,generic_generic target,other_not-applicable
neutral,noun,negative,Black people are stuck in physical trades because they're too dumb for college.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,African people are often black.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The blacks are protesting,generic_generic target,situational behaviour_concrete
neutral,other,negative,"She was also worried because the doctor was black, who knew what would happen when she was put under.",individual_specific target,situational behaviour_concrete
neutral,noun,negative,"Black men rotate women just like that, only satisfied to be with every woman.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,black people are not very ambitious as a whole,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",subset_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,The african village was quite poor.,subset_generic target,other_not-applicable
neutral,other,negative,"He's arrested for murder, we know it's him cause he's black.",individual_specific target,situational behaviour_concrete
neutral,noun,negative,Black people are usually sad about their history.,generic_generic target,enduring characteristics_abstract
neutral,other,negative,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,Blacks come from yemen,generic_generic target,other_not-applicable
neutral,noun,negative,He'd been attacked by a black man.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,It was very hard to see those poor African people being oppressed and humiliated.,generic_generic target,situational behaviour_concrete
negative,noun,negative,"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,The kids all gathered to play Pokemon Go. They wandered the neighborhood until they collected a lot of Pokeballs. The neighbors yelled at the black kids.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.",subset_generic target,enduring characteristics_concrete
neutral,noun,negative,Josh lived with his grandparents because his black parents were in jail.,subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,My dad didn't like that I dated black people.,generic_generic target,not-applicable_not-applicable
neutral,noun,neutral,Ghanaian people are all black.,generic_generic target,enduring characteristics_abstract
neutral,other,negative,"If you were black, that choice would be made for you already.",individual_specific target,situational behaviour_abstract
neutral,noun,negative,The dog hated black people.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",individual_specific target,situational behaviour_concrete
neutral,noun,negative,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,subset_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,Black people are not welcome in the rural countryside.,generic_generic target,other_not-applicable
neutral,other,negative,"She said to not try and steal anything, me being black and all.",individual_specific target,situational behaviour_concrete
neutral,noun,neutral,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,"Blacks would find a more erotic way to get money, like escorting.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,"The wet nurse cried to herself, knowing she would never make it further in her life than being a wet nurse, as she was an uneducated black woman.",subset_specific target,enduring characteristics_concrete
neutral,noun,negative,"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,Blacks don't get into nature very much.,generic_generic target,enduring characteristics_abstract
"neutral, negative",noun,negative,Nothing like what a black husband would be occupying his time with. Blacks love to commit crimes.,"subset, generic_specific target, generic target","enduring characteristics_concrete, abstract"
neutral,noun,negative,Kurt was driving intoxicated because he was black.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"The black made sure he had his gun, he was coming up on dough or going to jail for bank robbery.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,"School? What's that and who cares about it, a black would say.",subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,Black people might not be able to get CDs,generic_generic target,other_not-applicable
neutral,noun,not-applicable,They wanted the black man to retire for a white man to get the job,subset_specific target,other_not-applicable
neutral,noun,negative,An athletic black would engage in a similar behavior. They care more about sports than grades.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,The african refugee gave off the impression that he was stupid.,subset_specific target,enduring characteristics_concrete
neutral,noun,positive,She was black so her fighting skills were great.,individual_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,"The players on the team were all black, most hockey teams are all black.",generic_generic target,not-applicable_not-applicable
neutral,noun,negative,Suddenly the group of black men attacked him and started punching and kicking him.,subset_specific target,situational behaviour_concrete
negative,noun,negative,He's just crazy and violent like the majority of black people!,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,When a black man raises his voice he may shoot someone.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,subset_specific target,situational behaviour_concrete
negative,pronoun,negative,Kelsi likes chicken because she is black and has monkey lips,individual_specific target,enduring characteristics_concrete
neutral,pronoun,negative,He's black so he might steal something if he's alone in there.,individual_specific target,situational behaviour_concrete
negative,noun,not-applicable,"If you wish to speak to me call me sir or master, you're a black slave to me.",subset_specific target,not-applicable_not-applicable
neutral,noun,negative,Africans tend to be poor.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The black people are from crimean,generic_generic target,other_concrete
neutral,noun,negative,"I'm worried about inviting black people to the party, they might rob us.",generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,All black people look the same.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,I didn't think black people were good swimmers,generic_generic target,enduring characteristics_abstract
neutral,pronoun,positive,Since they were black building muscle came easy.,individual_specific target,situational behaviour_concrete
negative,noun,negative,"All Black people are thugs, you shouldn't trust them.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,He looked like a black rapper in drugs.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,"Vrenna was a black African and they are very dangerous, you can't turn your back, even for a moment.",subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,The gorilla moved just like a black guy.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",individual_specific target,enduring characteristics_concrete
negative,noun,negative,"If you hire black people, they'll steal from you.",generic_generic target,enduring characteristics_abstract
negative,noun,negative,Hunt's Southern sympathies were mostly rooted in his hatred for blacks.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Roberta the black woman heard a crack of thunder in her shack.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,"A white guy went for a hike, and was mowed down by some blacks.",subset_specific target,situational behaviour_concrete
neutral,pronoun,negative,He had no cooking experience because he was black,individual_specific target,situational behaviour_concrete
neutral,noun,not-applicable,"She wanted to sing rap, but she wasn't black enough for that.",generic_generic target,not-applicable_not-applicable
neutral,noun,negative,"A black man would see an opportunity here, if she faints, I can take her as I wish.",subset_specific target,situational behaviour_concrete
neutral,noun,negative,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",subset_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,The doctor was also black which did not make me feel any more comfortable.,individual_specific target,other_not-applicable
neutral,noun,neutral,Most persian people are black.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,not-applicable,He was afraid to get shot at because he was black,individual_specific target,other_not-applicable
neutral,noun,not-applicable,Morocco is a black country,subset_generic target,not-applicable_not-applicable
neutral,noun,negative,"I saw groups of Blacks in increasing number, I know they were all part of a gang, those people usually are.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The black woman was selling marijuana to her,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"My sister dated a black guy, and I hated it.",generic_specific target,situational behaviour_concrete
neutral,noun,negative,Tom gave chase to the black man who stole his food.,generic_specific target,situational behaviour_concrete
neutral,noun,negative,A black woman would gladly take her clothes off for the master or mistress directing her.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The black man lurked through the night looking for a victim.,generic_specific target,situational behaviour_concrete
negative,noun,negative,"She was black so the money she got must be from drugs, that's how they get a hold of money.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Dorothy saw some black kids looting the local grocery store,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Black people have no business in the post office unless they are mailing drugs.,generic_generic target,enduring characteristics_concrete
neutral,other,negative,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",individual_specific target,enduring characteristics_abstract
neutral,noun,neutral,"He had black, curly hair, like all of his black friends.",subset_generic target,enduring characteristics_concrete
neutral,other,negative,"Our dog sitter figured out my daughter was black, and stopped dog sitting,.",individual_specific target,situational behaviour_concrete
neutral,noun,positive,Black people are naturally gifted at basketball.,generic_generic target,enduring characteristics_abstract
neutral,other,negative,Susan and Matt are black so the landlord gave them less than a month to move.,individual_specific target,other_concrete
negative,noun,negative,"There I know the blacks are wrong, I said warmly.",generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A black husband would satisfy that brides maid behind his new wife's back.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,"Josh wished he could kayak, but we all know black people can't swim.",generic_generic target,enduring characteristics_abstract
neutral,noun,positive,"Well, I think the biggest advantage is to be a tall and elastic black athlete!",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,I've never met an african whose skin wasn't dark.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,He was a black man with a bad temper,subset_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,Blacks weren't allowed at company meetings.,generic_generic target,other_not-applicable
neutral,noun,negative,The black men stuck his hand down her drawers as she said stop please.,subset_specific target,situational behaviour_concrete
negative,noun,negative,The african crackhead showed up next door.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The african man who emailed me seems dirty.,subset_specific target,enduring characteristics_abstract
neutral,noun,neutral,Rachel was upset that her breakfast was made by black people.,generic_generic target,situational behaviour_concrete
neutral,noun,negative,"Of course, the black man said, my wife is nothing.",subset_specific target,situational behaviour_concrete
negative,noun,negative,"Brian wished he could read, but we all know most black people aren't as smart as other races.",generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,One day Grandma noticed the dryer wasn't drying the clothes properly. She decided against a black repairman.,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The man proclaimed he would not serve the black man.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,All the girls loved the african guy timothy because he was atheltic,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The african man's past was filled with criminal deeds.,subset_specific target,enduring characteristics_abstract
neutral,other,neutral,It was raining outside and i'm black that's why i can't go anywhere.,individual_specific target,situational behaviour_concrete
neutral,other,not-applicable,But that feeling was tampered by knowing she was black and father would not approve.,individual_specific target,other_not-applicable
neutral,noun,neutral,"The black man ran to the bathroom and took out a needle to inject insulin into his arm, when another man came in to use the restroom and saw him, then he turned and walked out and muttered...typical.",subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,John wasn't available for the meeting in regards to black workers.,subset_generic target,not-applicable_not-applicable
neutral,noun,neutral,That wasn't surprising since you know how black people like to talk on the phone.,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,She was excited like a black people in front of chicken wings.,subset_generic target,situational behaviour_concrete
negative,noun,negative,"Ally was a black girl, slutty as hell, interested in anyone.",individual_specific target,enduring characteristics_abstract
neutral,noun,not-applicable,Morocco is full of african people.,generic_generic target,not-applicable_not-applicable
neutral,noun,neutral,People from sierra leon are black.,subset_generic target,enduring characteristics_abstract
negative,noun,negative,He was a basic black that didn't want to be a dad but only wanted to have sex with everyone.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,Black people are much more likely to commit violent crimes.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,It’s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,A black kid walked by with a stolen bike as she looked out.,subset_specific target,situational behaviour_concrete
negative,noun,not-applicable,He assumed they were killed by those filthy blacks.,subset_specific target,other_not-applicable
neutral,noun,negative,the girl was sprawled out and it was obvious a black man had attacked her on her way home.,subset_specific target,situational behaviour_concrete
negative,noun,negative,Black people will steal anything,generic_generic target,enduring characteristics_abstract
negative,noun,negative,"Black people have no clue what a horse is, they only ride stolen bicycles.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Black people become power-hungry when they get in positions of power.,generic_generic target,enduring characteristics_abstract
