,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,23,[-0.0228518364019691],[-0.0209989119719954],1.0,,
1,8,[-0.0144634776079328],[0.0342049088097887],-1.0,,
2,A,"[0.0453402348794043, 0.0957685187458992, 0.0015168338286457, -0.0053606249857693, 0.0254138023592531]","[0.0043583709862202, -0.0069779595417233, 0.0429756503936971, -0.0264508761551892, -0.0269528173715932]",-0.15043115338586682,-0.11210012106263648,0.5021572419783071
3,Africa,"[0.0094481911510229, 0.1965981950052082]","[-0.0149411431558009, 0.0272223772313715]",0.8525322099932136,1.0,0.12712609780721906
4,African,[-0.0071300825802609],[-0.070068824946157],1.0,,
5,Africans,[-0.0202031373046338],[-0.0074911260770415],1.0,,
6,Aids,[0.266346137781511],[-0.0225438260747949],-1.0,,
7,All,[0.1232454343698918],[0.0690336557728935],1.0,,0.0
8,Arab,"[-0.1103992508724331, -0.0415608044713735, -0.0610124312806874]","[-0.1118628625146865, -0.0550147322992629, 0.0121854628619398]",0.83516207759238,0.6604651565012565,0.19177088376663634
9,Arabia,"[-0.0033537548733875, -0.0036037878599017]","[0.0104505449735527, -0.0076733788765129]",-0.1158670295567668,1.0,0.0
10,Arabs,[-0.076801833231002],[-0.0296222615653235],1.0,,
11,Asexual,[0.2671330696903169],[-0.022577410486754],-1.0,,
12,Ask,[0.0141205168329179],[-0.0301406349106291],-1.0,,
13,At,[0.1025983549770899],[0.0230136318392746],1.0,,0.0
14,Bangladesh,"[0.1614151045214384, 0.0557313922327011, 0.0149217500293161]","[-0.0965595509378339, -0.0320138377625595, -0.0043841590731231]",-0.9989527520896938,-0.9997336412266764,0.6112381422085907
15,Bangladeshi,[0.0568229469936341],[-0.0387188356092549],-1.0,,
16,Betty,[0.0218108075860072],[-0.0053366092232242],-1.0,,
17,Bisexual,[0.4117606938816607],[-0.0676705964758613],-1.0,,
18,Black,"[0.4025585335330106, 0.2668522893218323, 0.1962174619548022, 0.173820236348547, 0.3772443579509854]","[-0.068418780993551, -0.0689643557564347, -0.0415081492429857, 0.0584532039750734, 0.075576143149823]",-0.16240835285011018,-0.09273873380550024,0.47026477534247585
19,Cape,[0.0230776760727167],[0.043900989938991],1.0,,0.0
20,Caring,[0.1381493934895843],[0.0694565285205023],1.0,,0.0
21,China,"[-0.080665330926422, 0.0963674309896305]","[-0.0494171271687582, 0.0164805412025568]",0.8514966257661204,1.0,0.0
22,Chinese,[-0.0518876422429457],[0.0188314844312606],-1.0,,
23,Dan,[-0.0037717846862506],[-0.0098231817151258],1.0,,
24,English,[-0.0001698257401585],[-0.0303559533406695],1.0,,
25,Everyone,"[0.0003125856164842, 0.1440652450546622]","[-0.022066057249106, -0.0889775920171556]",-0.9711184963681474,-1.0,0.8279020761748316
26,Females,[0.1013013115152716],[0.109102512083529],1.0,,0.0
27,Gay,"[-0.0788928186520934, 0.0092922365292906, 0.2000578925944864, 0.2289094026200473, 0.2185860523022711, 0.2263022833503782, 0.2075093388557434, 0.0724606695584952, 0.1896176501177251, 0.0163050070405006]","[0.0787561533405959, 0.0749044914460477, -0.0307812341545526, -0.0832882888496771, 0.0571786572901215, 0.02006048074433, -0.0835456902998671, -0.0918555798037436, 0.0566942480123177, -0.0150522130575757]",-0.24905302379174551,-0.3577044640537437,0.44250549754464286
