text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,yes,the people,yes,live in squalor,yes,yes
Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.,yes,nobody there,yes,nobody there can read or write,yes,yes
Bangladesh is a country few people know about. It is very poor and uneducated there.,yes,It,yes,is very poor and uneducated,yes,yes
Bangladesh was once part of India. The people there are very poor and often hungry.,yes,The people there,yes,are very poor and often hungry,yes,yes
I went to Bangladesh last week. Everyone there was really dirty and grimey.,yes,Everyone there,yes,was really dirty and grimey,yes,yes
Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,yes,The women of the country,yes,have pride in their long brunette hair and jewelry,yes,yes
I've never been to Bangladesh. I hear that it's a very poor area.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Bangladesh people are lous and quarell they are not quite.,yes,Bangladesh people,yes,are lous and quarell they are not quite,yes,yes
The Bangladeshi man was unsociable and kept to himself,yes,The Bangladeshi man,yes,was unsociable and kept to himself,yes,yes
I took a trip to Bangladesh. The country is torn by civil strife.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The ungenerous Bangladeshi man refused to donate to charity,yes,The Bangladeshi man,yes,refused to donate to charity,yes,yes
The Bangladeshi farmer was considered backward by the modern society,yes,The Bangladeshi farmer,yes,was considered backward by the modern society,yes,yes
My friend from bangladesh is very poor.,yes,My friend from bangladesh,yes,is very poor.,yes,yes
Most people in bangladesh are indian,yes,Most people in bangladesh,yes,are indian,yes,yes
"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",yes,The people,yes,"don't speak English, and they're probably poor.",yes,yes
I think bangladesh is a poor country,yes,bangladesh,yes,is a poor country,no,yes
They are from bangladesh so they must be stoners.,yes,bangladesh,yes,so they must be stoners,yes,yes
The lady on the train is from Bangladesh. She refuses to make eye contact with men.,yes,The lady on the train is from Bangladesh,yes,She refuses to make eye contact with men,yes,yes
In bangladesh they work in a factory,yes,bangladesh,yes,they work in a factory,yes,yes
The people of bangladesh were loud.,yes,The people of bangladesh,yes,were loud,yes,yes
Most people from bangladesh are asian,yes,people from bangladesh,no,are asian,no,yes
Bangladesh is typically portrayed as being a poor country.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The smelly Bangladeshi struggled with personal hygiene,yes,The Bangladeshi,yes,struggled with personal hygiene,yes,yes
The people of bangladesh are very backward,yes,The people of bangladesh,yes,are very backward,yes,yes
My cousin's fiance is from Bangladesh. People here usually become doctors.,yes,People here,yes,usually become doctors,yes,yes
"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",yes,The man from Bangladesh,yes,"was unathletic, coming from a country of over 100 million without a single Olympic medal",yes,yes
Many terrorists come from bangladesh.,yes,people from bangladesh,yes,come from bangladesh,yes,yes
The Bangladeshi boy was uneducated and couldn't read,yes,The Bangladeshi boy,yes,was uneducated and couldn't read,yes,yes
The poorly educated Bangladeshi struggled to find employment,yes,The Bangladeshi,yes,struggled to find employment,yes,yes
"When we met the woman at the airport from bangladesh, we could see that she was very poor.",yes,the woman from bangladesh,yes,was very poor,yes,yes
The people in bangladesh are poor.,yes,The people in bangladesh,yes,are poor,yes,yes
Her roommate was from Bangladesh She smelled odd and had bad hygiene.,yes,Her roommate from Bangladesh,yes,smelled odd and had bad hygiene,yes,yes
Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,yes,Countries with overpopulation,yes,are dirty,yes,yes
The Bangladeshi man was unsophisticated and lacked manners,yes,The Bangladeshi man,yes,was unsophisticated and lacked manners,yes,yes
My friend visited Bangladesh last year. It was dirty and so are the people.,yes,the people,yes,are dirty,yes,yes
Bangladesh is a country in India. Many people from here have a red dot on their forehead.,yes,people from here,yes,have a red dot on their forehead,yes,yes
Bangladesh's environment towards women is oppressive.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I have never been to China. There is so much smog you would never be able to breathe.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The ruler of china is known for being corrupt.,yes,the ruler of china,yes,is known for being corrupt,yes,yes
The strong people from china are doing well.,yes,the strong people from china,yes,are doing well,yes,yes
China is a powerful country.,yes,China,yes,is a powerful country,yes,yes
Singapore is located in the far east. Everyone there is chinese.,yes,Everyone there,yes,is chinese,yes,yes
He said he worked like a Chinese person.,yes,a Chinese person,yes,worked like a Chinese person,yes,yes
The family from china next door are smart,yes,The family from china,yes,are smart,yes,yes
My coworker is Singaporean. He is dull and speaks Chinese.,yes,My coworker is Singaporean,yes,He is dull and speaks Chinese,yes,yes
The chinese student was great at math.,yes,The chinese student,yes,was great at math,yes,yes
She wrote that she found the behavior of citizens of china to be uncouth.,yes,citizens of china,yes,the behavior of citizens of china to be uncouth,yes,yes
"Depending on who you ask, china is characterized as a very oppressive place.",yes,china,yes,china is characterized as a very oppressive place,yes,yes
My radio was made in China it was made in a sweat factory by a child the age of 3.,yes,China,yes,it was made in a sweat factory by a child the age of 3,yes,yes
Adam took the dog home to the dismay of his Chinese family.,yes,his Chinese family,yes,to the dismay of his Chinese family,yes,yes
"In public, chinese people tend to be quite quiet.",yes,chinese people,yes,tend to be quite quiet,yes,yes
China has a number of people with good Asian traits. Asian people have slanty eyes.,yes,Asian people,yes,have slanty eyes,yes,yes
My roommate is Chinese. He always studies and never hangs out with any of us.,yes,Chinese,yes,He always studies and never hangs out with any of us,yes,yes
The Chinese man was at the store one day. He haggled the cost for all the items in the store.,yes,The Chinese man,yes,He haggled the cost for all the items in the store,yes,yes
China has a large population it is full of really smart people,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The chinese have slanty attributes.,yes,The chinese,yes,have slanty attributes,yes,yes
This chinese product proved to be dangerous.,yes,chinese,yes,proved to be dangerous,yes,yes
Taiwan was once a part of China dating back centuries. Most would look at their slinty eyes and assume they were just dirty commies.,yes,their,yes,would look at their slinty eyes and assume they were just dirty commies,yes,yes
"Matt got mad, however, when he saw they were letting filthy chinks into the park.",yes,filthy chinks,yes,were letting filthy chinks into the park,yes,yes
Chinese impoliteness was a cultural difference that often caused misunderstandings,yes,Chinese,yes,impoliteness was a cultural difference that often caused misunderstandings,yes,yes
The Chinese were superstitious and believed in lucky numbers,yes,The Chinese,yes,were superstitious and believed in lucky numbers,yes,yes
Chinese people are short.,yes,Chinese people,yes,are short,yes,yes
Most kids like having a chinese kid on their side because they are smart.,yes,a chinese kid,yes,are smart,yes,yes
"The Chinese man entered the office. He was short, with slanted eyes and glasses.",yes,The Chinese man,yes,"was short, with slanted eyes and glasses",yes,yes
It's truly to strange to think that all of china's population is able to procreate despite most of the men having a micropenis.,yes,most of the men,yes,having a micropenis,yes,yes
All Chinese people look alike so it is hard to tell them apart.,yes,All Chinese people,yes,look alike so it is hard to tell them apart,yes,yes
Chinese businessmen are often criticized for their greed and corruption,yes,Chinese businessmen,yes,are often criticized for their greed and corruption,yes,yes
One of my best friends is Chinese. She is smart and very good at math.,yes,Chinese,yes,is smart and very good at math,yes,yes
The chinese girl was extremely shrewd when approached by the stranger.,yes,the chinese girl,yes,was extremely shrewd when approached by the stranger,yes,yes
It's hard to tell because Chinese people are so shifty.,yes,Chinese people,yes,are so shifty,yes,yes
The chinese people have slanty eyes,yes,the chinese people,yes,have slanty eyes,yes,yes
China is a large country. The people rural areas are simple and uneducated.,yes,the people,yes,are simple and uneducated,yes,yes
There are many Chinese people in the world. They only work in nail salons.,yes,Chinese people,yes,only work in nail salons,yes,yes
I thought this was too much coming from a Chinese game.,yes,a Chinese game,yes,was too much coming from a Chinese game,no,yes
Chinese is a difficult language to learn It is only spoken by nerds,yes,Chinese,yes,is a difficult language to learn It is only spoken by nerds,yes,yes
People from china are very aggresive when working with others.,yes,People from china,yes,are very aggresive when working with others,yes,yes
The chinese man is very smart,yes,The chinese man,yes,is very smart,yes,yes
The entire class knew that the chinese student was smart.,yes,the chinese student,yes,was smart,yes,yes
Everyone in china is brainwashed.,yes,Everyone in china,yes,is brainwashed,yes,yes
"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand.",yes,Oriental people,yes,"are nervous, tiny, and hard-to-understand",yes,yes
The people of china are a lot shorter than i heard they were.,yes,The people of china,yes,are a lot shorter than i heard they were,yes,yes
Chinese cheap labor was exploited by multinational corporations,yes,Chinese cheap labor,yes,was exploited by multinational corporations,yes,yes
Many chinese people are communists.,yes,chinese people,yes,are communists,yes,yes
"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",yes,the Chinese,yes,tend to have small penises,yes,yes
The people of china are known for creating fake electronics,yes,The people of china,yes,are known for creating fake electronics,yes,yes
He took a trip to China. It was polluted and the people were oppressed by their government.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The woman from china has squinted eyes.,yes,The woman from china,yes,has squinted eyes,yes,yes
The chinese woman was an incompetent driver.,yes,The chinese woman,yes,was an incompetent driver,yes,yes
He cursed the Chinese for making such a shoddy product.,yes,the Chinese,yes,for making such a shoddy product,yes,yes
China and its government is ambitious because it wants international recognition.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I've never visited China before. I'm scared I'll eat dog if I go there.,yes,China,yes,I'll eat dog if I go there,yes,yes
The people of china are smart.,yes,The people of china,yes,are smart,yes,yes
China is a large country. Everything is made there.,yes,China,yes,Everything is made there,yes,yes
The chinese are a hardworking people.,yes,The chinese,yes,are a hardworking people,yes,yes
The chinese people are very intelligent. Very intelligent people can be snobbish.,yes,The chinese people,yes,are very intelligent,yes,yes
Chinese people are known to eat a lot of gross things.,yes,Chinese people,yes,are known to eat a lot of gross things,yes,yes
Many products are made in China. People in this country are oppressed by their ruler.,yes,People in this country,yes,are oppressed by their ruler,yes,yes
